SBU_id,master_category_id,service_category_id,loc_id,media_id,sp_id,lft_platform,placed_orders,taken_orders,complains,avg_csat,csat_number,lft_reschedules_customer,lft_customer_gmv,create_hr_day,schedule_hr_day,gap_hr_create_schedule,sp_change,reschedule_counter,schedule_due_counter,if_promo_used,if_completed
1,225,21,1.0,2.0,649,0,1,1,0,5.0,1,1,300.00,0,12,11,0,1,1,0,1
1,1,10,1.0,2.0,18013,1158,4,3,0,4.0,2,8,7760.00,9,21,35,0,4,2,0,0
2,226,332,11.0,8.0,2526,376,165,70,27,3.74,50,367,103307.00,22,15,208,0,10,2,0,0
3,3,152,4.0,2.0,76877,0,1,1,0,4.0,1,1,14000.00,16,17,192,0,1,0,0,1
4,183,167,44.0,8.0,1809,112,11,5,0,4.666666666666667,3,7,3700.00,9,19,33,1,3,0,0,0
2,226,26,47.0,12.0,17507,563,5,1,0,2.0,1,8,2500.00,16,16,95,1,0,0,1,0
1,225,22,9.0,2.0,803,630,4,4,0,5.0,3,1,1200.00,13,16,2,0,0,0,0,1
6,185,247,36.0,12.0,2336,245,14,9,0,4.0,4,38,19180.00,18,15,68,1,2,1,1,1
1,1,12,11.0,5.0,9,559,18,15,1,5.0,5,17,20095.00,19,17,21,0,1,1,0,1
8,101,159,29.0,8.0,17291,272,22,16,1,5.0,16,12,4348.00,20,14,281,0,4,1,0,0
1,1,14,36.0,8.0,9,0,1,1,0,5.0,1,4,1499.00,13,17,75,0,4,0,0,1
3,221,223,44.0,12.0,17710,602,15,14,0,4.75,12,18,10200.00,18,9,110,0,0,0,1,0
2,226,25,4.0,2.0,3429,644,16,11,0,5.0,1,9,4545.00,14,15,312,1,2,0,0,0
1,1,14,5.0,8.0,595,450,28,24,2,5.0,14,162,27470.00,13,16,2,0,0,0,0,0
1,225,21,36.0,2.0,74761,135,3,2,0,5.0,1,1,1700.00,10,16,5,0,0,0,0,1
5,235,144,47.0,8.0,3642,502,12,3,0,5.0,2,13,5400.00,12,13,0,1,1,1,0,0
6,185,247,6.0,12.0,2330,340,18,16,1,4.833333333333333,6,28,5530.00,12,12,455,0,0,0,0,0
1,1,14,1.0,12.0,66194,963,25,10,3,5.0,1,78,14500.00,12,10,909,0,3,0,1,0
3,3,152,1.0,2.0,706,216,5,3,0,5.0,1,6,8900.00,14,9,42,0,1,1,0,1
7,184,72,12.0,11.0,2345,1162,61,59,0,3.857142857142857,7,13,13693.40,15,17,169,0,0,0,0,1
1,225,22,11.0,9.0,2526,273,58,33,3,4.75,16,115,73183.00,10,13,2,0,0,0,0,0
1,1,14,2.0,8.0,13087,224,4,4,0,5.0,4,5,15700.00,13,16,50,0,3,1,0,1
8,101,446,29.0,8.0,1316,766,11,5,2,4.0,4,24,5710.00,17,16,358,0,10,6,0,0
6,185,247,1.0,12.0,74555,8,3,3,0,5.0,1,8,3060.00,15,19,27,0,1,0,1,1
4,183,167,11.0,9.0,1451,7,4,3,0,5.0,3,2,2340.00,11,17,5,0,1,0,0,1
3,3,152,47.0,8.0,837,361,24,17,6,3.4,15,37,4875.00,9,9,239,0,0,0,0,0
1,225,21,6.0,8.0,71414,50,4,2,0,5.0,1,8,900.00,13,18,28,0,5,1,0,1
6,185,227,11.0,8.0,73989,1215,391,356,11,4.453731343283582,335,235,171569.00,10,13,2,0,0,0,1,0
5,186,69,20.0,8.0,3375,548,303,292,1,4.996515679442509,287,102,286951.00,12,14,1,0,0,0,0,1
1,1,13,2.0,8.0,13087,0,1,1,0,5.0,1,0,3500.00,12,10,93,0,0,0,0,1
4,183,167,5.0,9.0,25864,297,59,38,3,4.8,20,87,64030.00,11,12,0,0,0,1,0,0
1,73,75,11.0,8.0,1305,557,24,19,1,5.0,8,67,23376.00,23,19,187,0,7,2,0,1
7,184,72,12.0,4.0,2528,1143,71,68,1,5.0,2,51,26647.00,15,17,169,0,0,0,0,1
1,225,22,6.0,9.0,2526,129,19,7,0,4.4,5,17,7919.00,18,20,1,0,0,1,0,0
1,1,14,49.0,12.0,277,243,13,1,0,5.0,1,23,1100.00,15,16,192,0,3,1,1,0
6,185,247,29.0,8.0,12664,131,21,16,2,4.9,10,23,10160.00,1,14,12,0,0,0,0,1
1,225,22,14.0,8.0,,757,20,16,2,4.666666666666667,15,32,13094.00,19,17,21,0,4,0,1,0
5,186,207,4.0,2.0,99573,533,14,9,0,4.75,4,26,6437.00,12,11,574,0,3,3,1,0
4,183,167,6.0,8.0,1451,575,15,10,1,4.833333333333333,6,14,9990.00,16,13,20,0,1,0,0,1
5,235,518,11.0,2.0,233,438,33,26,1,5.0,1,28,15660.00,8,8,47,0,0,0,1,1
6,185,247,11.0,12.0,64798,145,12,10,0,1.0,1,15,3500.00,19,19,71,0,4,2,0,1
4,183,259,2.0,12.0,14256,678,23,20,0,4.583333333333333,12,50,30880.00,18,11,304,0,3,0,0,1
7,184,584,20.0,8.0,65288,327,2,1,0,5.0,1,6,400.00,21,20,238,0,5,2,0,1
7,184,72,12.0,11.0,2528,952,10,8,1,4.0,1,13,3630.00,17,17,167,0,0,0,0,1
1,1,10,68.0,9.0,18225,331,10,3,2,5.0,1,21,22599.00,10,15,100,1,3,1,0,0
7,184,72,6.0,12.0,1809,300,8,2,0,5.0,1,12,2460.00,17,10,64,1,0,0,0,0
5,235,144,49.0,9.0,233,113,22,15,2,4.6,10,23,11440.00,0,18,305,0,1,0,0,0
6,185,247,11.0,12.0,74184,276,9,5,2,3.6666666666666665,3,20,6890.00,17,11,113,1,0,0,1,0
1,225,21,1.0,11.0,595,637,13,13,0,5.0,1,23,7493.00,14,21,30,0,1,0,0,1
1,225,22,6.0,12.0,1047,414,17,10,1,3.6666666666666665,6,20,6083.00,12,11,22,0,0,0,0,1
7,184,584,1.0,12.0,75441,339,13,9,0,5.0,7,23,8439.00,12,18,173,1,0,0,0,0
1,1,14,6.0,8.0,48816,334,11,8,0,4.8,5,19,21760.00,14,18,99,0,3,0,0,1
5,186,207,2.0,12.0,73946,244,11,3,0,4.5,2,26,2700.00,12,12,95,0,1,0,1,1
1,225,21,4.0,2.0,99688,644,16,11,0,5.0,1,9,4545.00,14,18,3,0,1,1,0,0
2,226,24,18.0,2.0,3429,29,4,2,0,4.0,1,4,1200.00,12,9,20,0,0,1,0,0
6,185,274,6.0,8.0,3007,10,6,4,0,5.0,3,9,5002.50,15,15,311,1,3,3,0,0
1,225,21,4.0,8.0,,20,4,3,0,4.0,3,2,2049.00,15,18,2,0,0,0,0,0
4,183,200,29.0,2.0,49326,163,11,11,0,5.0,1,5,12100.00,22,9,58,0,1,0,0,1
3,3,154,36.0,8.0,3439,438,14,5,1,5.0,3,15,3550.00,15,20,28,1,1,0,0,0
7,184,72,11.0,8.0,69231,281,2,2,0,5.0,1,2,1909.00,15,11,139,0,2,0,0,1
1,1,14,8.0,2.0,56125,0,1,1,0,5.0,1,0,1400.00,10,14,3,0,0,0,0,1
4,183,167,47.0,8.0,25864,766,33,24,0,4.391304347826087,23,56,25650.00,23,14,14,0,1,0,1,1
5,186,586,2.0,8.0,3375,90,4,2,0,3.5,2,17,10000.00,15,11,67,0,0,0,0,0
7,184,584,1.0,12.0,75441,1025,6,1,0,4.0,1,30,1900.00,13,9,691,1,11,0,0,0
6,185,488,4.0,6.0,118931,110,36,10,0,5.0,1,98,6748.00,15,9,1193,0,1,0,0,0
8,348,350,12.0,11.0,79834,554,145,144,0,5.0,17,78,5763.00,17,9,15,0,1,0,0,1
7,184,644,4.0,8.0,99658,258,10,8,2,3.8,5,11,2750.00,15,17,169,0,3,1,1,1
8,455,457,11.0,2.0,17256,322,13,3,1,3.0,2,20,3800.00,15,10,18,0,1,1,0,0
5,186,64,73.0,2.0,751,4,2,1,1,3.0,1,4,1800.00,11,20,56,0,4,0,0,1
1,225,22,12.0,8.0,1800,964,127,64,11,4.224489795918367,49,235,38621.00,17,16,46,0,0,0,1,1
4,183,167,1.0,12.0,73618,631,2,2,0,5.0,1,0,750.00,10,16,269,0,0,0,1,1
1,1,14,4.0,9.0,595,446,7,3,1,5.0,1,12,1800.00,15,10,114,1,4,0,0,1
6,185,247,49.0,12.0,74997,327,43,31,3,5.0,8,60,11823.00,17,12,186,1,0,0,0,0
7,184,72,12.0,4.0,2528,1172,142,139,0,4.857142857142857,7,31,15784.00,16,17,168,0,0,0,0,1
1,1,587,18.0,12.0,17977,221,3,2,1,5.0,2,5,4700.00,15,16,120,0,3,0,1,1
6,185,247,1.0,12.0,74555,79,3,3,0,5.0,2,4,11570.00,15,14,22,0,1,1,1,1
1,225,21,5.0,8.0,2793,539,15,15,3,4.909090909090909,11,22,33059.00,17,10,16,0,2,1,0,1
1,1,618,18.0,2.0,9,0,2,1,0,5.0,1,5,2500.00,15,13,21,1,1,1,0,0
6,185,124,6.0,2.0,86050,67,7,3,0,5.0,1,3,34800.00,11,10,22,0,0,0,0,1
1,1,14,1.0,12.0,1376,140,3,1,0,5.0,1,6,150.00,18,14,91,0,3,2,1,0
1,1,14,14.0,2.0,975,588,18,12,0,4.333333333333333,6,29,31202.50,18,16,117,0,6,0,0,1
8,333,693,1.0,8.0,649,848,3,1,0,5.0,1,2,200.00,11,17,5,0,0,0,1,0
7,184,584,5.0,2.0,1909,1138,149,141,3,4.571428571428571,14,35,34941.00,11,9,141,0,4,1,0,1
1,1,12,11.0,8.0,99777,4,2,2,0,5.0,2,4,1399.00,15,14,70,0,3,0,0,1
8,455,457,45.0,11.0,74442,384,12,9,0,5.0,7,18,5720.00,17,17,215,0,0,0,0,0
